Customer Id,Gender,Age,City,Signup Date,Order Id,Order Date,Restaurant Name,Dish Name,Category,Quantity,Price,Payment Method,Order Frequency,Last Order Date,Loyalty Points,Churned,Rating,Rating Date,Delivery Status
C6543,Other,Adult,Karachi,"September 28, 2023",O10543,"August 24, 2023",Burger King,Pizza,Fast Food,5,"$1,213.62",Cash,45,"October 10, 2024",418,Inactive,4,"June 1, 2025",Delivered
C3894,Female,Senior,Multan,"January 24, 2025",O7894,"August 24, 2023",Burger King,Burger,Fast Food,1,$126.53,Wallet,45,"September 26, 2024",48,Inactive,2,"August 20, 2025",Cancelled
C4231,Female,Senior,Multan,"April 11, 2025",O8231,"August 24, 2023",Burger King,Sandwich,Continental,3,$796.91,Wallet,39,"November 12, 2024",5,Inactive,5,"February 27, 2025",Delivered
C4975,Female,Teenager,Karachi,"June 20, 2025",O8975,"August 25, 2023",Burger King,Burger,Dessert,1,$673.86,Wallet,38,"July 7, 2025",439,Inactive,2,"July 9, 2025",Delivered
C5497,Other,Adult,Lahore,"January 26, 2025",O9497,"August 25, 2023",Burger King,Pasta,Continental,5,$785.37,Card,49,"October 21, 2024",463,Active,2,"May 19, 2025",Delivered
C6362,Female,Senior,Islamabad,"November 22, 2023",O10362,"August 26, 2023",Burger King,Pizza,Chinese,4,$343.52,Card,34,"September 29, 2024",164,Active,3,"January 25, 2025",Delivered
C6340,Male,Senior,Multan,"July 7, 2025",O10340,"August 26, 2023",Burger King,Sandwich,Continental,2,$209.77,Cash,16,"November 20, 2024",453,Active,3,"September 4, 2024",Cancelled
C1827,Other,Adult,Lahore,"May 24, 2024",O5827,"August 27, 2023",Burger King,Pasta,Italian,2,$522.00,Cash,12,"March 30, 2025",246,Inactive,3,"September 20, 2024",Delayed
C6804,Female,Adult,Peshawar,"January 16, 2025",O10804,"August 28, 2023",Burger King,Burger,Continental,3,$931.02,Wallet,30,"July 10, 2025",211,Inactive,3,"March 18, 2025",Delayed
C3147,Female,Adult,Islamabad,"October 30, 2024",O7147,"August 30, 2023",Burger King,Pizza,Continental,4,$299.44,Cash,27,"February 6, 2025",480,Inactive,3,"December 1, 2024",Delivered
C3797,Other,Teenager,Islamabad,"May 8, 2024",O7797,"August 30, 2023",Burger King,Burger,Chinese,3,$266.63,Wallet,13,"September 14, 2024",429,Active,2,"May 25, 2025",Cancelled
C4465,Female,Adult,Islamabad,"January 22, 2025",O8465,"August 30, 2023",Burger King,Pizza,Italian,2,"$1,296.57",Card,16,"December 13, 2024",31,Inactive,3,"March 13, 2025",Cancelled
C1557,Female,Teenager,Peshawar,"January 11, 2024",O5557,"August 31, 2023",Burger King,Pizza,Chinese,1,"$1,071.22",Cash,5,"June 15, 2025",56,Inactive,5,"October 11, 2024",Delivered
